name,price,rating,discount
Boiled Water Foldable Electric Collapsible Camping Outdoor,"9,000",0,0%
Zilan Electric Water Heater Kettle + Free 2pcs Milo Sachet,"24,000",0,0%
Men Rechargeable Pro Electric Complete Hair  Kit Clippers,"11,359",0,50%
2PCS Universal 32mm Vacuum Cleaner Carpet Floor Nozzle Br,"3,159",0,50%
Kinelco Cordless Base Electric Kettle 2.8 LTRS,"28,000",0,0%
Nexus NX-4000B Plastic Electric Kettle,"17,500",0,22%
Electric Cordless Wet & Dry Lady  Women Trimmer Bikini Le,"10,469",0,50%
WHISTLING STOVE KETTLE 3.6 Liters,"13,300",0,30%
Foldable And Collapsible Electric Jug,"9,499",4,5%
Russell Hobbs 1.7 Litre Lunar Solar Cordless Electric Kettle 23210-70 - Red,"17,000",3.7,0%
3 Litres Whistling Gas & Stove Kettle,"4,599",3,0%
Master Chef 2.2Litre Cordless Electic Kettle,"5,740",5,0%
"Russel Hobbs Illuminating Glass Kettle1.7 Litre, 3000 Watt ","16,000",4,0%
8Pcs/Set Electric D USB Rechargeable Cordless Hair Clipper T,"12,959",0,50%
Kinelco 5.5liters Electric Kettle- (Boiler),"15,000",0,0%
Cordless PRO D LI T- Men's Hair Trimmer Clipper Barber Tool,"21,409",0,50%
10.4脳22cm High Quality Food Separator Air Fryer Accessori,"3,739",0,50%
2pcs Waterproof Washing Machine Zippered Top Dust Cover P,"9,009",0,50%
Scanfrost Electric Kettle- 4.3L-SFKE 18,"22,000",0,27%
Eurosonic Cordless Electric Kettle - 2.2Litres,"8,500",0,43%
3 Litter Whistle Stainless Steel Kettle ..,"4,500",0,0%
Collapsible Electric Water Kettle/Heater,"8,999",0,0%
Qasa Stainless Electric Jug With Pure Copper Coil,"6,000",0,0%
Boiled Water Foldable Electric Collapsible Camping Outdoor,"12,000",4,11%
Crown Star Fancy 3Litres Cordless Electric Kettle,"8,999",0,25%
Stainless Steel Whistling Kettle,"6,900",0,0%
Tower Alluminium Kettle//3L,"6,000",0,0%
3.2 Ltr POLKA DOT VICALINA WHISTLING KETTLE,"17,000",0,0%
1 Pcs 300x32mm Plastic Blender Mixer Part Accelerator Tam,"2,459",0,50%
Alkaline Water Purifier D Ionizer Stick Raise PH Neg Charged,"10,269",0,50%
1.8.L Kettle Stainless Steel Water Hotel Tea Pot  Gold 1.2L,"9,039",0,50%
Scanfrost KETTLE SFKE18,"23,000",0,0%
6Pcs Replacement Water D Jug Filter Refills For Brita Maxtra,"24,989",0,50%
Scanfrost Kettle SFKAK1720-Black,"13,271",0,0%
STAINLESS Electric Jug/Kettle ,"6,500",0,0%
Scanfrost Electric Kettle  Orange – SFKAK 1701,"16,700",0,44%
Russell Hobbs 1.7 Litre Lunar Solar Cordless Electric Kettle 23210-70 - Red.,"16,900",0,0%
